# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 12:45:56 BST 2021 [seed=1620301547338]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(node1)	tmrca(node10)	tmrca(node2)	tmrca(node3)	tmrca(node4)	tmrca(node5)	tmrca(node6)	tmrca(node7)	tmrca(node8)	tmrca(node9)	yule.birthRate	clock.rate	meanRate	treeLikelihood	branchRates	speciation
310000	-36356.81449997471	-154.7211258330893	-36202.09337414162	51268.3336331663	452229.8442183327	9619.312522253964	44154.92379665401	14517.4392952934	20102.699284308354	19006.943218043343	25949.67294925728	29928.697014792157	42437.07313476864	50279.05618785839	34613.81276994825	3.539770638388398E-5	6.285276134104587E-6	6.285276134104583E-6	-36202.09337414162	0.0	-149.24312515108116
320000	-36355.25252327793	-156.0725413880766	-36199.17998188985	48028.82042611282	434774.04056695447	9214.831439304508	42291.10277374549	14579.140077721715	20343.319023337182	17659.973175075516	25736.266108311866	28833.560136750544	41469.00305370374	46693.15015906569	33261.17107923182	2.5454477256856858E-5	6.6026776786235535E-6	6.602677678623554E-6	-36199.17998188985	0.0	-148.58899171577792
330000	-36350.02386139954	-155.84472932783308	-36194.17913207171	51603.81592977347	454753.7576499534	9799.350694819897	45362.10489875775	15212.29654728413	20074.36285437294	17226.976498288896	25903.777120880648	29267.81190805325	43302.836826783925	50021.362491652595	35023.333056425996	2.549853235801418E-5	6.210820342581069E-6	6.210820342581067E-6	-36194.17913207171	0.0	-149.09511901093663
340000	-36356.99654849577	-156.67777532131987	-36200.318773174455	55418.78645336979	479562.58075100527	9902.304664122294	47498.6935123449	14398.72676138924	21535.053500450325	17680.45438630814	27517.098144223517	31014.93059987681	44830.93168180826	53754.899290083034	36183.45192974098	2.5520512636283293E-5	5.834926551211814E-6	5.834926551211815E-6	-36200.318773174455	0.0	-149.72704705873483
350000	-36356.46037840126	-156.96064216677877	-36199.49973623448	53857.80463922963	475184.59799501364	9893.204307122114	46845.78140899749	14491.63114974579	21572.085380695553	19634.881706396267	27679.011679771767	30972.30269870981	45198.446807904336	52500.10497724985	37418.257389281134	5.215768124979183E-5	5.9182298958170514E-6	5.91822989581705E-6	-36199.49973623448	0.0	-152.98063504374585
360000	-36353.18704778625	-154.84190555819228	-36198.345142228056	50183.00547017031	444398.1837913374	9718.573501125658	44741.55976238722	14085.423532508801	19418.80115023531	16917.89467504461	25159.431251689122	28165.08076105315	41716.33603290226	49076.81249179052	34290.682328190946	4.71213443285133E-5	6.313219525561599E-6	6.3132195255615985E-6	-36198.345142228056	0.0	-150.4568381961638
370000	-36353.49900396491	-155.020077858808	-36198.4789261061	49541.6227988879	428451.76270537096	8899.221258050256	41917.995970675285	13918.717886455252	18896.04243547982	16563.393567482384	24935.116948472267	27619.845665409783	41250.99846068829	49088.827323788144	32067.691584537894	4.312944628342339E-5	6.748422663410169E-6	6.748422663410163E-6	-36198.4789261061	0.0	-149.14584689877978
380000	-36352.32387677856	-156.70456168215912	-36195.6193150964	46345.781050924874	405238.89008879807	8416.349038564973	40871.021115821524	12801.731195410883	17478.139172696643	15768.345204035755	23415.729629729423	26240.543901614976	38217.38758180099	44311.659462551426	31311.2977328522	6.224097471233937E-5	6.984170278521295E-6	6.9841702785212945E-6	-36195.6193150964	0.0	-151.12092474020238
390000	-36356.99223924372	-155.9038030455971	-36201.08843619812	49815.84222159266	442754.0030758375	9870.368782747742	44200.496953919755	15878.522138615224	20709.609766586396	17124.48960506851	24672.657151806845	28832.79111851459	41004.055099829246	49430.00024531085	33461.00309075277	5.271831368572391E-5	6.576904479475385E-6	6.576904479475384E-6	-36201.08843619812	0.0	-151.39836392846954
400000	-36354.10091525941	-158.69654485043583	-36195.40437040898	60205.639237294476	529720.8811184395	11803.901165712841	52698.93013597022	16836.570696944105	23450.785712926194	20787.51777842116	30268.66691507963	33883.13769689975	50094.50176961672	58938.71753076296	40731.003406589836	3.781189572253611E-5	5.498071464713421E-6	5.498071464713421E-6	-36195.40437040898	0.0	-152.4072791604031
410000	-36355.527328610755	-156.39027074921805	-36199.13705786154	55503.56491534667	491511.093269852	11596.27588915194	48189.19452738785	16287.596150557738	22908.32989562267	19424.320023820386	28322.753428294855	32361.57067226471	45324.38278308429	53205.98314965861	37581.11669602388	3.935896149263306E-5	5.839632843974605E-6	5.839632843974606E-6	-36199.13705786154	0.0	-151.20159551581938
420000	-36351.583700442236	-155.1491211784183	-36196.43457926382	52568.5009050934	466044.9813003169	10066.672877565608	47046.75265984272	16004.0292635011	20606.869517156178	18469.88604735522	26877.92673829582	29811.760211785702	43900.05703571553	50614.00240606658	35228.295644943726	3.8788935136076744E-5	6.059716825479993E-6	6.059716825479994E-6	-36196.43457926382	0.0	-150.12327042599446
430000	-36356.931287606014	-158.11455605710387	-36198.81673154891	57507.98095378739	510502.90013908333	11782.494619702113	50388.37049509516	16834.370316947567	22678.065919579683	19946.320063468393	30178.53014405226	34199.602157467605	48127.166706451855	56879.49050192921	38519.50124002061	4.415563980374487E-5	5.63568972086522E-6	5.635689720865223E-6	-36198.81673154891	0.0	-152.90285084088805
440000	-36354.196225010215	-156.57381134710428	-36197.62241366311	54641.20876905579	488513.0866997191	10752.279726973255	48778.38242028238	17063.146311083805	21865.953713557126	18815.045840780203	28570.81134629981	32067.631802913053	45193.98355139386	53020.31898992484	37195.10348769263	4.45994507996256E-5	5.944630872443526E-6	5.944630872443525E-6	-36197.62241366311	0.0	-152.0186725432469
450000	-36356.67899830888	-156.44889612905772	-36200.23010217983	53691.81064092298	479910.93244808674	10538.282141202097	47516.30050771757	15670.60500448393	22057.101247705894	19281.99858320772	27916.002703482114	30448.011883511415	44927.53811865907	52588.12193498647	38960.133469472436	2.589462488792677E-5	5.9618325936629255E-6	5.961832593662926E-6	-36200.23010217983	0.0	-149.7262904484175
460000	-36356.69313474693	-157.70574796775557	-36198.987386779176	58227.5674145696	511798.64015875163	11131.306630708117	49574.48628728544	17409.980966942923	22792.061133033254	18843.239459105935	29447.26834466851	32984.763143972465	48408.88733594017	55362.803472551015	41058.39010568539	4.1373149818782406E-5	5.68665495829283E-6	5.686654958292829E-6	-36198.987386779176	0.0	-152.38214157062745
470000	-36357.43203862391	-157.71999591098051	-36199.712042712934	53979.4731006194	477584.574304131	9743.49106592164	47484.8644157579	15993.681575856019	21216.917155777217	19709.695906124205	27223.352969543554	32030.77140302109	44317.52468923047	53338.39490399017	35789.524237673584	5.648868954064445E-5	6.026950370315072E-6	6.026950370315073E-6	-36199.712042712934	0.0	-154.13723837191503
480000	-36351.82928497526	-154.45716991230074	-36197.372115062964	48491.92318525782	424271.07876397856	8827.572804095356	41989.076990848436	13684.041229820396	18389.09973822123	15655.324534198371	23948.212252716192	27394.809409912446	40234.97372778181	47513.376271297835	34108.21998868247	3.961389140860348E-5	6.659358106891197E-6	6.659358106891194E-6	-36197.372115062964	0.0	-148.5793276468879
490000	-36352.39082167796	-155.77023079357494	-36196.620590884384	47775.42748600458	422697.57537886576	8572.24552174023	40724.88638541864	15267.627887368937	19266.70210296208	16221.94573058137	24568.760743651354	27493.224819903087	40431.22021252662	47590.36413806284	31663.20258953654	5.4233324339007726E-5	6.7890755050541E-6	6.789075505054099E-6	-36196.620590884384	0.0	-150.61308968011508
500000	-36352.11635766609	-154.87158814124757	-36197.24476952484	49292.64198839727	432556.1571515822	9112.264004241011	43127.69940814973	14613.059968309914	19146.59776156016	18067.16517560945	24568.0937136677	28360.05885835493	40683.29018072347	47662.253612840235	32779.70242983323	4.883139512543934E-5	6.5401557791464E-6	6.5401557791464015E-6	-36197.24476952484	0.0	-150.17510304376128
510000	-36357.38071566991	-159.53836588452808	-36197.84234978538	59946.9933781642	527949.0963717031	11030.787608811366	53708.84624519144	17744.728634922998	23785.318489607787	19598.968343707376	31041.138814920374	34889.14296157122	50145.84897529487	57496.01133277697	39774.840840245946	4.115303648373154E-5	5.361587623493393E-6	5.361587623493391E-6	-36197.84234978538	0.0	-153.00347538289336
520000	-36351.30732642903	-155.50172442948406	-36195.80560199954	54035.740716011474	474445.6957510067	10508.104118922985	46168.47420376453	15120.616593859793	21827.28346614715	18075.0794389232	27429.969235546523	30956.18195703568	45528.82471449246	53384.41275444703	34972.51533941835	3.232828319414982E-5	6.080449908768826E-6	6.0804499087688286E-6	-36195.80560199954	0.0	-149.75239972507842
530000	-36355.23334631204	-155.84692177223556	-36199.3864245398	55437.704160118774	481888.6930965779	9895.991655164242	49078.416393641324	16053.247837142953	20412.6471043444	17586.157969442298	26978.807393207135	30609.30662943451	45418.42249004866	54710.65790568735	36663.21871505311	3.058800809153834E-5	6.082537201984403E-6	6.0825372019844034E-6	-36199.3864245398	0.0	-149.873747980899
540000	-36358.279669846386	-155.54587730964778	-36202.73379253674	51427.17135194197	454148.09645969525	9703.444306139552	47294.43634586897	14614.124103873415	19900.82115504158	17365.76487553811	26446.692000428247	30150.138540719938	42472.023596309984	48590.87341889456	36398.304076415385	4.809948797963868E-5	6.407151219539129E-6	6.4071512195391284E-6	-36202.73379253674	0.0	-151.09339824234019
550000	-36355.406716514386	-155.63614896564445	-36199.770567548745	51967.996604666514	452497.2808699041	10097.681627787824	44196.746441926094	15757.272381306653	20216.858735987396	18525.085136050842	25764.84874066241	29368.443445557677	41778.177972017234	50530.62049434317	33207.196400071894	4.912983510757094E-5	6.438241382555748E-6	6.438241382555746E-6	-36199.770567548745	0.0	-151.20468968023889
560000	-36354.565702693966	-155.27527358537537	-36199.290429108594	51922.48914101408	460207.25372281426	9256.41269495556	45505.30096059863	15200.169626548592	21408.643908429603	17953.74534295157	27801.61949242601	30251.552339398157	44068.97511686543	50870.19050413633	34438.2319626002	4.511661079834845E-5	6.154246374622261E-6	6.154246374622264E-6	-36199.290429108594	0.0	-150.84437244823675
570000	-36354.042417345874	-156.03010662172204	-36198.01231072415	45737.564962724624	403801.530320732	8663.053520919115	40063.12668410969	14788.974741201455	18391.133564460022	14578.695996792661	23548.708015278706	25697.97680405462	38270.845876000036	44877.981702130994	31219.89581340979	3.1653402241225445E-5	7.044297314296913E-6	7.044297314296911E-6	-36198.01231072415	0.0	-147.4703362167789
580000	-36354.90249931084	-154.8497413157244	-36200.052757995116	50783.158685745104	440076.1704315192	9740.66340699668	45273.96006769207	15585.217008726682	19609.997443842738	17173.5833113702	24494.659260764573	28158.459733481384	41730.37979445304	47306.648193651476	33201.37398350547	4.328605565625927E-5	6.5461219140847325E-6	6.546121914084735E-6	-36200.052757995116	0.0	-149.66900180250227
590000	-36354.602837879334	-156.57656441448552	-36198.02627346485	55283.071964722316	485961.3939315276	10815.32277786527	49173.44892338888	16521.378226465436	21593.97358376574	18539.502502885738	26808.01026837751	30756.083152436135	45988.73345405481	53304.98608558497	37869.67476354818	2.5727515116787197E-5	6.053891938257026E-6	6.053891938257025E-6	-36198.02627346485	0.0	-149.88592276017027
600000	-36357.4676387621	-159.99108963192538	-36197.47654913017	61381.47611298572	543076.5600642476	10977.236254940244	52266.84054713981	17304.786913491942	24879.27996761358	21984.744747294746	32124.66085651462	36011.47758818653	52321.799623567334	61157.06020402237	40575.47726797579	2.948017938108538E-5	5.262086922658799E-6	5.2620869226587974E-6	-36197.47654913017	0.0	-151.62329568403734
610000	-36353.79660619118	-154.9132826037808	-36198.8833235874	52696.0589323396	460687.9652717826	10321.586741700685	45589.65806850101	15536.622668146963	20343.84705779751	17587.486639226638	26259.89212188568	29967.529666523347	42893.10759790891	50812.32964132252	36699.32284899584	3.748172733905868E-5	6.09819703930534E-6	6.0981970393053396E-6	-36198.8833235874	0.0	-149.75892189382108
620000	-36353.948895985945	-155.4242712435957	-36198.52462474235	52832.39394227772	466291.9097188024	9767.063976779435	45244.422707381964	16086.493061483496	21336.95724312517	18194.564730324226	26723.430611950214	31398.796012574065	44451.038589953314	51652.77365112808	33446.97603249906	3.001048598242601E-5	6.125245366739963E-6	6.125245366739959E-6	-36198.52462474235	0.0	-149.37517498048473
630000	-36356.68562092852	-154.95178107152282	-36201.73383985699	48525.377573694954	430683.6237837096	9392.670066655435	40849.71326983785	16135.722734459852	19621.31669327884	16457.654966744387	25323.021984064955	27737.085064886265	40192.218119259494	48102.676375368115	31034.60436648511	4.0238839575130816E-5	6.7244371490848925E-6	6.7244371490848925E-6	-36201.73383985699	0.0	-148.89902155747052
640000	-36349.96805801504	-155.3309604052263	-36194.63709760981	52714.220525509685	458999.5017592046	9176.831971886339	45945.48891376938	14737.434653556053	20391.530793889608	17645.38630741124	26115.833911721264	29529.054056509915	43852.56714839327	50267.65532399073	35503.94284243928	2.9364814801922617E-5	6.237990556028593E-6	6.237990556028594E-6	-36194.63709760981	0.0	-149.14270924837058
650000	-36350.47151930735	-156.43027493096488	-36194.041244376385	55259.691723077696	488454.27008696477	10110.91575134128	48497.65008502763	16146.981157133829	22328.738310438366	19457.81599369047	27966.197788308513	31523.46406770966	46528.27348666721	54024.90265015963	37017.45151836159	4.256736047220167E-5	5.891873701187032E-6	5.891873701187031E-6	-36194.041244376385	0.0	-151.62970518693308
660000	-36355.04371832483	-155.0306792223212	-36200.01303910251	46278.15419315351	415195.0980902326	8971.046087031877	39638.19436316334	15360.286787341738	19279.0106369887	16566.56876330053	24136.675740606264	26834.68387675016	39713.70665187794	45251.44277139195	30027.657352706803	3.386449664025562E-5	6.825522541235326E-6	6.825522541235323E-6	-36200.01303910251	0.0	-147.87123706293846
670000	-36353.63169934571	-155.6733660952183	-36197.95833325049	50149.053026593974	437928.58055851166	9160.651776113275	42445.63733747263	14402.427198719917	19889.856664836825	17146.893758328642	26077.064691315005	28798.749553757298	40961.31655671801	48354.779224293125	32835.90049281579	5.604295378259944E-5	6.407832828307823E-6	6.407832828307824E-6	-36197.95833325049	0.0	-151.8049088827225
680000	-36359.04396784463	-156.32820968705514	-36202.715758157574	51648.5804439797	446383.3377920267	8787.363046308494	46510.10382128907	14359.14682670024	20265.89272184952	17795.78096177714	24668.002163355075	27935.455762844038	41841.36922199712	47980.77003805691	33517.796503084	2.3774615853780285E-5	6.418236486951469E-6	6.418236486951467E-6	-36202.715758157574	0.0	-149.0221897735635
690000	-36359.11797067232	-156.27503648299682	-36202.84293418932	54215.37197497941	486581.0979839325	10731.347383013775	47855.58631765553	17113.171317668828	23296.660665663898	17371.833828090046	29764.160375353662	32290.815257041246	45565.846520993386	53395.04853997736	37570.259669490144	3.991449123047336E-5	5.813630575408316E-6	5.813630575408316E-6	-36202.84293418932	0.0	-151.09566141492786
700000	-36355.66125415821	-156.0564333939628	-36199.604820764245	55374.74390080901	486781.23720485903	10296.383955265212	47653.14178888771	15297.330255165067	20662.506405032964	19075.192142037522	27645.299067597978	32158.880695789787	48017.1207380336	54705.71370464878	36233.26459378675	3.582345191832633E-5	5.854351731849127E-6	5.854351731849127E-6	-36199.604820764245	0.0	-150.51798561341238
710000	-36355.330442206636	-157.44849840659583	-36197.88194380004	56946.29441899359	501679.5187151577	10291.662690831725	51095.42288264712	16505.820828243155	22210.867319458575	19312.326567222244	28405.873060034053	31996.291347084585	46948.02178767579	54317.95819945501	40152.540720925455	4.254508426212854E-5	5.6695405668154315E-6	5.669540566815433E-6	-36197.88194380004	0.0	-152.1882984919252
720000	-36356.00774950315	-154.92542748600388	-36201.082322017144	48034.24130308721	435633.507502225	10215.975660603837	42253.404092396064	14560.448909104023	20259.779023728974	16685.09670758755	25841.510884510684	28729.067417991886	40929.22507298962	47187.53796598466	33820.18286819656	3.905826209214974E-5	6.665364453317268E-6	6.665364453317271E-6	-36201.082322017144	0.0	-148.9710173604681
