state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
 0	-74724.51367613963	-2321.888873602203	-72402.62480253742	103622.86284983052	283911.6655195855	40815.83350861291	7.881793700956314E-5	7.881793700956297E-5	-72402.62480253742	0.0	-2299.3247457247035	
10000	-74724.19234887659	-2317.119704635854	-72407.07264424073	104098.86829255517	281055.9108766072	35710.02026952345	7.894024648923145E-5	7.894024648923142E-5	-72407.07264424073	0.0	-2294.8740943353123	
20000	-74746.70584001577	-2317.849486392001	-72428.85635362376	104225.29533949423	282425.86116056895	37235.91651640115	7.900166056464912E-5	7.900166056464913E-5	-72428.85635362376	0.0	-2295.4385868801146	
30000	-74716.74582347136	-2312.4947500842795	-72404.25107338707	103936.62703059158	276764.35013712116	37151.90679682438	8.017554630313581E-5	8.017554630313578E-5	-72404.25107338707	0.0	-2290.190988646143	
40000	-74710.27265516948	-2311.9602851282452	-72398.31237004124	103833.58687930761	274898.7944510183	31989.606413529826	8.132029843090141E-5	8.132029843090137E-5	-72398.31237004124	0.0	-2289.630538446889	
50000	-74740.64062280717	-2313.910690611721	-72426.72993219545	103839.59797107379	277498.2542206316	34836.514963131696	8.063727774940214E-5	8.063727774940207E-5	-72426.72993219545	0.0	-2291.482760188707	
60000	-74720.60924939043	-2311.2490621060556	-72409.36018728437	103440.59465897446	274118.5853163001	39282.67126228066	8.337760903294427E-5	8.337760903294427E-5	-72409.36018728437	0.0	-2288.199529585329	
70000	-74701.78910996423	-2303.026635296014	-72398.76247466821	103526.16711412833	268264.0209381578	36951.65790857397	8.537044616977458E-5	8.537044616977457E-5	-72398.76247466821	0.0	-2279.9692041539442	
80000	-74725.470898195	-2308.292014414004	-72417.17888378099	103691.014173859	271619.38231864665	38519.69113392186	8.426354766818984E-5	8.426354766818988E-5	-72417.17888378099	0.0	-2285.219970970962	
90000	-74719.99524176987	-2308.0940947542917	-72411.90114701557	103987.6707581418	273104.77394628024	38725.60725767042	8.324740150110137E-5	8.324740150110126E-5	-72411.90114701557	0.0	-2285.1778629116993	
100000	-74712.6956054319	-2300.670907091835	-72412.02469834007	103688.49085550559	265836.31443210726	33920.3913526318	8.610670398055558E-5	8.610670398055573E-5	-72412.02469834007	0.0	-2277.701761350432	
110000	-74705.34970330299	-2301.137870460679	-72404.21183284231	103777.03476825649	266624.4885546982	31405.968651917556	8.547163849562392E-5	8.547163849562385E-5	-72404.21183284231	0.0	-2278.352381623701	
120000	-74726.60818727633	-2309.484368067763	-72417.12381920857	104138.96331429773	274280.0269409984	33145.53715278134	8.29095898155042E-5	8.290958981550426E-5	-72417.12381920857	0.0	-2286.722727577302	
130000	-74703.53232965032	-2310.5031332197736	-72393.02919643055	103868.0903206223	274296.1996698776	36782.90681425649	8.194980068162773E-5	8.194980068162769E-5	-72393.02919643055	0.0	-2287.905144612256	
140000	-74719.32130324475	-2306.1575945226964	-72413.16370872206	104005.40103479	271774.3038281703	36294.022308182444	8.268211189306462E-5	8.268211189306463E-5	-72413.16370872206	0.0	-2283.571565107014	
150000	-74724.39194254667	-2305.7175597124196	-72418.67438283426	103958.3555133347	270891.74583823245	33454.53977467524	8.506163764083219E-5	8.506163764083207E-5	-72418.67438283426	0.0	-2282.6255609574255	
160000	-74732.66057626385	-2305.5471507372567	-72427.1134255266	103743.95084223445	270254.3700044695	36059.71520046704	8.392154265731078E-5	8.392154265731081E-5	-72427.1134255266	0.0	-2282.748064113482	
170000	-74706.84480684694	-2306.9563210257365	-72399.88848582121	103666.020153585	271347.36064486403	37029.25021909228	8.317912286604439E-5	8.317912286604442E-5	-72399.88848582121	0.0	-2284.2468918172976	
180000	-74732.86553552144	-2305.9495552938533	-72426.91598022758	104021.0779379645	271402.59337490436	35196.137397048886	8.37594389310079E-5	8.375943893100791E-5	-72426.91598022758	0.0	-2283.1254299188295	
190000	-74739.88062739039	-2308.487328548688	-72431.39329884171	103752.63266129141	272632.9707546241	35718.108897862396	8.194012582251909E-5	8.194012582251909E-5	-72431.39329884171	0.0	-2286.0546723327943	
200000	-74722.83723549481	-2309.807708300945	-72413.02952719387	103988.05870652183	274006.86909872363	34586.355321541785	8.06863761908361E-5	8.068637619083603E-5	-72413.02952719387	0.0	-2287.648432146727	
210000	-74743.64866444653	-2301.704349738497	-72441.94431470803	104050.20587460579	269334.2077243716	33648.65644420153	8.36103935766501E-5	8.36103935766502E-5	-72441.94431470803	0.0	-2279.135642785108	
220000	-74716.0620420755	-2314.2375683621094	-72401.8244737134	103900.6335818418	277801.1176005993	39363.590080456146	8.142257482187793E-5	8.142257482187797E-5	-72401.8244737134	0.0	-2291.4405839392466	
230000	-74718.55607069864	-2318.6853109018475	-72399.8707597968	103914.11353223004	281194.9068554124	38853.10422967081	7.922462338060285E-5	7.92246233806028E-5	-72399.8707597968	0.0	-2296.2628554775993	
240000	-74739.82160854778	-2322.761590282729	-72417.06001826505	104001.82685831055	284263.2205587496	35484.99126337638	7.803632626120106E-5	7.803632626120114E-5	-72417.06001826505	0.0	-2300.5374988311014	
250000	-74738.70955122927	-2326.1572771696024	-72412.55227405966	104003.5887511624	288549.449585638	38792.487321969355	7.599298865942328E-5	7.599298865942333E-5	-72412.55227405966	0.0	-2304.11994091002	
260000	-74732.85980481992	-2324.4418225609784	-72408.41798225894	104422.01229987187	287629.48068488616	36948.05668160967	7.683934581834319E-5	7.68393458183431E-5	-72408.41798225894	0.0	-2302.2725392219104	
270000	-74737.24480767787	-2328.566682357646	-72408.67812532022	104625.26780929341	292220.66213815263	40102.76406548484	7.459165891242799E-5	7.459165891242787E-5	-72408.67812532022	0.0	-2306.6422660950984	
280000	-74739.94102540093	-2325.803602878108	-72414.13742252282	104064.37992585107	288396.2215937954	38025.98964090435	7.644094937434394E-5	7.644094937434389E-5	-72414.13742252282	0.0	-2303.6654731186645	
290000	-74762.66570133131	-2321.5802116246005	-72441.0854897067	103583.97030040581	283689.53433491895	40486.99509478196	7.775194055489694E-5	7.775194055489695E-5	-72441.0854897067	0.0	-2299.3505101685373	
300000	-74744.62858430062	-2316.671341404363	-72427.95724289626	104560.59743962933	283018.82412319304	36958.531948181786	7.801588061769913E-5	7.801588061769907E-5	-72427.95724289626	0.0	-2294.5073952836847	
310000	-74735.74954081274	-2324.8326219427518	-72410.91691886999	104375.8157600895	288791.7555024141	37751.44031753136	7.641704826458696E-5	7.641704826458703E-5	-72410.91691886999	0.0	-2302.679247513151	
320000	-74731.08322805369	-2325.157039812084	-72405.9261882416	104167.75221224099	288556.47216469445	39724.34718916287	7.672787827840722E-5	7.672787827840713E-5	-72405.9261882416	0.0	-2302.8785752053454	
330000	-74720.13639296818	-2317.468467464242	-72402.66792550393	103940.85046305842	281454.1835401296	37048.22136311554	7.885530975621687E-5	7.885530975621691E-5	-72402.66792550393	0.0	-2295.179780503849	
340000	-74732.81364447105	-2319.0412808774636	-72413.7723635936	104228.70547165033	282879.8057146974	35851.233488172365	7.791208529786263E-5	7.791208529786272E-5	-72413.7723635936	0.0	-2296.948380555369	
350000	-74737.44651385528	-2321.573810763186	-72415.87270309209	104193.73759497801	285351.3199944282	39437.063481270845	7.731644071713191E-5	7.731644071713201E-5	-72415.87270309209	0.0	-2299.371176223597	
360000	-74713.79035583921	-2328.091620627465	-72385.69873521174	104261.94396633173	289221.9796786563	44127.97979165815	7.546005742014103E-5	7.546005742014107E-5	-72385.69873521174	0.0	-2306.033127593452	
370000	-74752.91382025424	-2329.716117843983	-72423.19770241025	104330.38649989452	292859.976284822	37584.25419467142	7.437384509777236E-5	7.437384509777232E-5	-72423.19770241025	0.0	-2307.8752179689977	
380000	-74737.07797480022	-2330.6295206296036	-72406.44845417062	104575.64236466445	294737.1501196604	41469.575811209135	7.330791931929595E-5	7.330791931929583E-5	-72406.44845417062	0.0	-2308.875213709275	
390000	-74755.17019979091	-2335.844506265554	-72419.32569352536	104458.92584188374	300019.97319570807	41583.417274905994	7.109250159520674E-5	7.109250159520673E-5	-72419.32569352536	0.0	-2314.389080665179	
400000	-74741.96753907154	-2336.1430246021628	-72405.82451446938	104334.14201477621	299035.03457533853	43687.33387973484	7.25357450846194E-5	7.253574508461945E-5	-72405.82451446938	0.0	-2314.264990673398	
410000	-74756.21939987385	-2334.770115807366	-72421.44928406649	104379.27503493144	299565.67645419505	42240.0457799169	7.198080105340587E-5	7.198080105340584E-5	-72421.44928406649	0.0	-2313.0582495460053	
