state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
 0	-72934.78877126501	-3229.941229682395	-69704.84754158261	1.0429844242006116E7	2.79996712358732E7	3944393.524663456	7.589261308171583E-7	7.589261308171583E-7	-69704.84754158261	0.0	-3208.550909174068	
10000	-72957.02219865845	-3232.798115383583	-69724.22408327486	1.0399210554142252E7	2.8191126039098978E7	4000881.7076799283	7.42484611141379E-7	7.424846111413788E-7	-69724.22408327486	0.0	-3211.7261386137484	
20000	-72917.99283788797	-3231.3798703204584	-69686.61296756752	1.0404173978650423E7	2.8082438281828918E7	3677759.9468433713	7.509283706412025E-7	7.509283706412016E-7	-69686.61296756752	0.0	-3210.2280966077906	
30000	-72936.80290997641	-3232.002801224549	-69704.80010875186	1.0401601526542945E7	2.801830026742219E7	3972580.1012271023	7.668987274832976E-7	7.668987274832972E-7	-69704.80010875186	0.0	-3210.3629508777326	
40000	-72927.16147812721	-3231.546381356129	-69695.61509677107	1.0371626905432245E7	2.7971825708245493E7	3435741.830682636	7.576194427826755E-7	7.576194427826744E-7	-69695.61509677107	0.0	-3210.352170468146	
50000	-72943.42427479645	-3233.115230480764	-69710.30904431568	1.0413745022975402E7	2.83428580713148E7	3679879.7775019235	7.338041643852488E-7	7.338041643852482E-7	-69710.30904431568	0.0	-3212.2688222573165	
60000	-72957.02153533787	-3235.4943451776476	-69721.52719016022	1.0408297584682403E7	2.8576743468900606E7	3734582.6019688565	7.283934109444334E-7	7.283934109444331E-7	-69721.52719016022	0.0	-3214.6239861259037	
70000	-72929.59189153963	-3228.8216028272864	-69700.77028871235	1.0417407589348564E7	2.7980214639560528E7	3772043.876186664	7.509415494620147E-7	7.509415494620155E-7	-69700.77028871235	0.0	-3207.7190777023375	
80000	-72932.95198514825	-3238.6279419493876	-69694.32404319885	1.0405354057518333E7	2.864567516690124E7	4140152.9409300783	7.447085738908156E-7	7.447085738908162E-7	-69694.32404319885	0.0	-3217.127046770807	
90000	-72963.68121464047	-3232.401557822893	-69731.27965681758	1.0417748735201191E7	2.8104720387325674E7	3813560.3275798764	7.71045543395662E-7	7.710455433956619E-7	-69731.27965681758	0.0	-3210.618582947054	
100000	-72939.38421503954	-3230.7095074079907	-69708.67470763155	1.039722027837739E7	2.801908779100825E7	3783922.573859097	7.536052247720283E-7	7.536052247720294E-7	-69708.67470763155	0.0	-3209.4989366266004	
110000	-72938.09277430212	-3237.5617801710764	-69700.53099413104	1.0401053967769941E7	2.8591744258397415E7	3501896.8358728033	7.254207539376621E-7	7.254207539376638E-7	-69700.53099413104	0.0	-3216.8321265050786	
120000	-72936.32375457382	-3232.292479031389	-69704.03127554244	1.0415256582700366E7	2.8128038749345213E7	4035431.3260223	7.649384843759491E-7	7.649384843759492E-7	-69704.03127554244	0.0	-3210.6111449469495	
130000	-72942.04609810139	-3230.8366786927054	-69711.20941940868	1.042189087038914E7	2.821403398517839E7	3686907.994519547	7.421056404947962E-7	7.421056404947971E-7	-69711.20941940868	0.0	-3209.8407734166185	
140000	-72931.65843596861	-3227.2570585621665	-69704.40137740644	1.0414096986330569E7	2.775349553858617E7	3787191.5289916727	7.668393145445678E-7	7.668393145445683E-7	-69704.40137740644	0.0	-3205.865017299107	
150000	-72925.51386742976	-3226.8701072703425	-69698.64376015942	1.0379685613461824E7	2.7689190222394086E7	3766167.7847830374	7.686413263102075E-7	7.686413263102067E-7	-69698.64376015942	0.0	-3205.480714911848	
160000	-72929.86690449413	-3229.0062130508877	-69700.86069144325	1.041081419286823E7	2.7948331543745257E7	3589945.574470411	7.572884108065117E-7	7.572884108065119E-7	-69700.86069144325	0.0	-3207.794947791339	
170000	-72953.88137140677	-3234.2921564704207	-69719.58921493635	1.0401021878732812E7	2.8350623119017214E7	4112342.7418132164	7.345503380994643E-7	7.345503380994641E-7	-69719.58921493635	0.0	-3213.3074117344763	
180000	-72952.95293151145	-3232.4372833918464	-69720.5156481196	1.0385732395698052E7	2.8056276884192713E7	4138388.299946014	7.562212088116307E-7	7.562212088116308E-7	-69720.5156481196	0.0	-3211.0346772778676	
190000	-72954.15855144738	-3236.7609821791957	-69717.39756926819	1.0428058527049191E7	2.8655339261015862E7	4071408.985921668	7.22556451215602E-7	7.225564512156026E-7	-69717.39756926819	0.0	-3215.9196776218887	
200000	-72929.05199176072	-3235.228810655998	-69693.82318110472	1.044421457926971E7	2.8552572176305197E7	4004654.8970187157	7.337570465532874E-7	7.337570465532873E-7	-69693.82318110472	0.0	-3214.148999437822	
210000	-72957.46607176804	-3241.2855893554406	-69716.1804824126	1.0450106898132777E7	2.9116298563736837E7	4240722.259157209	7.154278963072374E-7	7.154278963072383E-7	-69716.1804824126	0.0	-3220.290964866144	
220000	-72957.84736557979	-3242.2872803065566	-69715.56008527323	1.0469277890551679E7	2.9196026274191476E7	3852036.193525387	7.24045692741718E-7	7.240456927417174E-7	-69715.56008527323	0.0	-3221.0755231000035	
230000	-72931.7208661462	-3240.1175030331215	-69691.60336311308	1.0429764507501742E7	2.8993323353991635E7	3969536.4253580365	7.097958599647017E-7	7.09795859964703E-7	-69691.60336311308	0.0	-3219.442069611363	
240000	-72956.94274511727	-3239.794475649278	-69717.14826946799	1.0440677513038475E7	2.8580574233827446E7	3128631.9234352224	7.38740144070894E-7	7.38740144070894E-7	-69717.14826946799	0.0	-3218.7956655134826	
250000	-72939.02246759142	-3230.339526972398	-69708.68294061902	1.0443536781966299E7	2.807735703809458E7	3677250.6358701303	7.631386919472613E-7	7.631386919472617E-7	-69708.68294061902	0.0	-3208.8407186152017	
260000	-72942.37097889696	-3229.0503895922498	-69713.32058930471	1.0401744931982528E7	2.7816266249372385E7	3388290.16631743	7.700808568528772E-7	7.700808568528766E-7	-69713.32058930471	0.0	-3207.630365446744	
270000	-72919.6901826021	-3225.250219582544	-69694.43996301955	1.0406785289846307E7	2.7534899832919173E7	3656618.6573207215	7.792128854150738E-7	7.792128854150748E-7	-69694.43996301955	0.0	-3203.708229672421	
280000	-72939.73561486088	-3227.9097240189676	-69711.82589084191	1.041629082829452E7	2.782855160985238E7	3960956.9961990886	7.589117002581159E-7	7.589117002581158E-7	-69711.82589084191	0.0	-3206.642426183964	
290000	-72951.15542201957	-3231.4464594368774	-69719.70896258269	1.0405636506651368E7	2.8153161752203666E7	3902085.7387525886	7.4312673402364E-7	7.431267340236399E-7	-69719.70896258269	0.0	-3210.4084903058297	
300000	-72924.39356702646	-3229.371210600782	-69695.02235642567	1.0408087750535388E7	2.7835310558600243E7	3396108.3981376495	7.633554358381335E-7	7.633554358381336E-7	-69695.02235642567	0.0	-3208.126148294908	
310000	-72939.15014494942	-3237.8351664374036	-69701.31497851202	1.0415084058977146E7	2.859008889514704E7	3434507.1959927925	7.392075513226406E-7	7.392075513226416E-7	-69701.31497851202	0.0	-3216.7225367697392	
320000	-72951.07073773505	-3244.4773086339374	-69706.5934291011	1.0407470641775597E7	2.9237873015113253E7	4109052.5710983477	7.105179833278891E-7	7.105179833278882E-7	-69706.5934291011	0.0	-3223.576329591021	
330000	-72942.4564221054	-3243.6439180009256	-69698.81250410447	1.0411456719135867E7	2.9222481316422965E7	3657029.5238823174	7.074009662909955E-7	7.074009662909957E-7	-69698.81250410447	0.0	-3222.963438303657	
340000	-72942.55086230127	-3247.829982074512	-69694.72088022676	1.0434383203546986E7	2.9634816646044455E7	3946917.9287889726	6.880877022033067E-7	6.880877022033067E-7	-69694.72088022676	0.0	-3227.3747236788477	
350000	-72952.39062268015	-3244.2714256471477	-69708.119197033	1.0438359000715857E7	2.9363903910904452E7	4157616.906586383	6.981752324769988E-7	6.981752324769984E-7	-69708.119197033	0.0	-3223.642493873789	
360000	-72960.13849574713	-3255.484604162617	-69704.65389158452	1.0482282865183847E7	3.042439574943105E7	4123414.2817388517	6.658583386658841E-7	6.658583386658841E-7	-69704.65389158452	0.0	-3235.148181638801	
370000	-72962.90149769152	-3251.124484867291	-69711.77701282423	1.050209486071241E7	3.0096208102687832E7	3901777.2610996654	6.892107366929041E-7	6.892107366929031E-7	-69711.77701282423	0.0	-3230.3363617005175	
380000	-72949.96201246226	-3251.237721570144	-69698.72429089212	1.046604289891655E7	3.007647801966718E7	3813595.185602342	6.762965753326349E-7	6.762965753326344E-7	-69698.72429089212	0.0	-3230.8835986736613	
390000	-72963.68712419558	-3247.163133497391	-69716.52399069819	1.045560437780071E7	2.9631355232510682E7	4265670.605119439	6.935668057552588E-7	6.935668057552589E-7	-69716.52399069819	0.0	-3226.466215158404	
400000	-72930.05195726952	-3231.126617042044	-69698.92534022748	1.042091953837851E7	2.8298359298288863E7	3611954.5345020406	7.398961634292217E-7	7.398961634292214E-7	-69698.92534022748	0.0	-3210.154180199838	
410000	-72937.6733060505	-3235.7296049869637	-69701.94370106354	1.0418313302061236E7	2.848166917260085E7	3990233.0262049627	7.365263038776505E-7	7.365263038776491E-7	-69701.94370106354	0.0	-3214.623427399549	
420000	-72924.68474269634	-3239.479170217265	-69685.20557247907	1.0410605822357154E7	2.885259927698434E7	3912247.7330268645	7.270454640350334E-7	7.270454640350338E-7	-69685.20557247907	0.0	-3218.4060249438216	
430000	-72956.40209747416	-3245.2255349092907	-69711.17656256487	1.0493859614010982E7	2.9521018012005642E7	3600346.777249217	6.962317440665303E-7	6.962317440665315E-7	-69711.17656256487	0.0	-3224.6922575379695	
440000	-72936.92717201388	-3239.9585248500853	-69696.9686471638	1.0399750835708331E7	2.8884409279747106E7	3846427.9182241065	7.27378857856886E-7	7.273788578568866E-7	-69696.9686471638	0.0	-3218.869911266469	
450000	-72938.4664665176	-3245.164800497467	-69693.30166602012	1.0488776324386863E7	2.952927556206793E7	4159961.2872957564	6.999901630958924E-7	6.999901630958921E-7	-69693.30166602012	0.0	-3224.3677629494373	
460000	-72923.71371709307	-3237.78273516353	-69685.93098192953	1.0424277774992114E7	2.8795619149568558E7	3741929.927899776	7.237320991876532E-7	7.237320991876532E-7	-69685.93098192953	0.0	-3216.892233447521	
470000	-72930.2705037619	-3242.705024722208	-69687.5654790397	1.0406476734150713E7	2.8965848617651697E7	4317977.288247285	7.24049806731074E-7	7.240498067310749E-7	-69687.5654790397	0.0	-3221.541661912234	
480000	-72943.8476566699	-3235.1789142929247	-69708.66874237698	1.0414783341928119E7	2.8521573730333738E7	3993547.688571806	7.400425166337282E-7	7.400425166337277E-7	-69708.66874237698	0.0	-3213.9405463741246	
490000	-72952.03414781498	-3247.060638539567	-69704.97350927541	1.0443009841986293E7	2.9420948868390065E7	4469838.831912275	7.091603088472607E-7	7.091603088472614E-7	-69704.97350927541	0.0	-3225.9894423778856	
500000	-72920.49707625205	-3239.0339445133295	-69681.46313173872	1.0435596825860016E7	2.875055823794146E7	3708553.871221498	7.244076189114777E-7	7.244076189114782E-7	-69681.46313173872	0.0	-3218.1643432361393	
510000	-72951.26292428205	-3238.767944157333	-69712.49498012473	1.0386841830386959E7	2.8707902379656002E7	3959267.485722753	7.205256900619206E-7	7.205256900619203E-7	-69712.49498012473	0.0	-3217.9772123309854	
520000	-72941.9353097358	-3238.0199356365747	-69703.91537409922	1.0450381829653852E7	2.8747560663302436E7	3442921.1094444687	7.348562128940715E-7	7.34856212894071E-7	-69703.91537409922	0.0	-3216.9192435362947	
