state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
 0	-73277.8149961236	-1936.536214349633	-71341.27878177397	1599.455886531276	28472.703124842123	5102.52316905706	5.230739593979609E-4	5.230739593979606E-4	-71341.27878177397	0.0	-1921.4392738192093	
10000	-73280.90781231462	-1939.3494760615345	-71341.55833625309	1563.8698852184102	29035.72081310038	5758.087104054697	5.047271898183844E-4	5.047271898183845E-4	-71341.55833625309	0.0	-1924.3975200477316	
20000	-73307.38727153027	-1944.8474697422282	-71362.53980178804	1636.4769381978122	30046.78887937167	6254.93361185541	4.7844851646658377E-4	4.784485164665838E-4	-71362.53980178804	0.0	-1930.1358739368864	
30000	-73296.14707368547	-1952.610236497288	-71343.53683718818	1695.9278966854051	31066.27653487085	5905.005835392216	4.6779141570059543E-4	4.6779141570059483E-4	-71343.53683718818	0.0	-1937.8274614609281	
40000	-73295.922461602	-1959.9125488919153	-71336.00991271008	1706.8668038218545	32084.67882229782	6366.800784443214	4.608099696632631E-4	4.608099696632628E-4	-71336.00991271008	0.0	-1944.8257210400704	
50000	-73291.49447341333	-1950.15653521826	-71341.33793819507	1695.6986936985907	30567.448461405642	5701.3412042783275	4.8808934699814336E-4	4.880893469981431E-4	-71341.33793819507	0.0	-1934.9924191046373	
60000	-73303.43976124558	-1950.4800425782016	-71352.95971866738	1664.8180211976703	30704.975282374777	6617.998354997892	4.7645545334275215E-4	4.76455453342753E-4	-71352.95971866738	0.0	-1935.471234631436	
70000	-73290.84924402596	-1951.8523353956145	-71338.99690863035	1607.761305173301	30875.45770361577	6087.598828101749	4.6956347667128224E-4	4.695634766712824E-4	-71338.99690863035	0.0	-1937.0686861707718	
80000	-73279.8408307827	-1946.9265820063408	-71332.91424877636	1592.6888802217861	29954.47655147314	5951.572465411911	4.856036646555586E-4	4.8560366465555865E-4	-71332.91424877636	0.0	-1932.0855786493985	
90000	-73298.41557843059	-1953.1717832391682	-71345.24379519142	1674.429451739765	31054.855744768047	6525.817439514041	4.6887266908810204E-4	4.68872669088102E-4	-71345.24379519142	0.0	-1938.2594685829733	
100000	-73282.27767983575	-1958.5245270733246	-71323.75315276242	1681.3855667393934	31873.423442279174	6466.862466487079	4.586143450507504E-4	4.586143450507512E-4	-71323.75315276242	0.0	-1943.5885209439268	
110000	-73284.90462666996	-1959.3573119176167	-71325.54731475234	1702.352721580924	32030.150854510244	6661.337796257352	4.6358181707200073E-4	4.635818170720013E-4	-71325.54731475234	0.0	-1944.1577561372092	
120000	-73286.78816116076	-1966.4197831147744	-71320.36837804598	1712.6860069764596	33068.701782624856	6678.14552788777	4.4162813415987473E-4	4.416281341598747E-4	-71320.36837804598	0.0	-1951.5024459441008	
130000	-73291.33643421097	-1960.7894326165072	-71330.54700159446	1637.8262360835733	32081.51740704605	6412.348735659197	4.5759221523049537E-4	4.575922152304959E-4	-71330.54700159446	0.0	-1945.8036179010248	
140000	-73300.78052463352	-1963.0938424336657	-71337.68668219986	1734.156609004873	32567.60766337239	5829.185515945286	4.515897418349899E-4	4.5158974183498994E-4	-71337.68668219986	0.0	-1948.190552332213	
150000	-73303.81009729998	-1963.9234583288378	-71339.88663897115	1658.8948646745596	32533.86092117224	6789.205621992975	4.4868699915829035E-4	4.4868699915829045E-4	-71339.88663897115	0.0	-1948.9800945969573	
160000	-73311.15928898408	-1969.851181878189	-71341.3081071059	1729.16201091268	33642.88393221034	7084.064899964219	4.373283343209893E-4	4.373283343209891E-4	-71341.3081071059	0.0	-1954.7794189568665	
170000	-73283.74148021275	-1962.6963107990869	-71321.04516941366	1651.1965236870144	32396.250293889385	6001.007566407338	4.486386398253204E-4	4.4863863982532056E-4	-71321.04516941366	0.0	-1947.9375989114096	
180000	-73300.29346074394	-1961.6932396016816	-71338.60022114226	1755.7731956365474	32520.559085229015	6604.751356448028	4.5012411836672955E-4	4.501241183667292E-4	-71338.60022114226	0.0	-1946.7348495753322	
190000	-73306.05389806232	-1968.6291189398544	-71337.42477912246	1680.5356387814754	33443.04142962252	6235.808156013871	4.331735130828642E-4	4.3317351308286425E-4	-71337.42477912246	0.0	-1953.91303638798	
200000	-73314.87737355965	-1969.3604371923118	-71345.51693636733	1679.3916979802432	33594.02034891782	6133.896720334018	4.406038763602315E-4	4.4060387636023137E-4	-71345.51693636733	0.0	-1954.3395649988684	
210000	-73285.2165418589	-1970.4648685471873	-71314.75167331171	1765.8404647153718	33858.0214500991	6625.811729793931	4.2741361968214855E-4	4.2741361968214877E-4	-71314.75167331171	0.0	-1955.7162407173876	
220000	-73308.54673711999	-1974.4635020894482	-71334.08323503054	1702.427401251964	34215.92064120169	7493.660822969384	4.309620823705631E-4	4.3096208237056296E-4	-71334.08323503054	0.0	-1959.3185284073713	
230000	-73298.85371608965	-1970.2747506027001	-71328.57896548696	1761.1185991449993	33831.50080696588	6659.536643576422	4.343230593742507E-4	4.343230593742509E-4	-71328.57896548696	0.0	-1955.2902143121669	
240000	-73301.7830363234	-1965.9965233940438	-71335.78651292935	1676.8079274755853	33047.2942141438	6536.0446125515655	4.454379470901797E-4	4.4543794709017996E-4	-71335.78651292935	0.0	-1950.9796258880415	
250000	-73310.58454574198	-1970.6223083531188	-71339.96223738886	1757.4762364861854	33767.75125585889	7396.3164111669585	4.3724635950995405E-4	4.3724635950995346E-4	-71339.96223738886	0.0	-1955.4575173773326	
260000	-73295.34901993342	-1970.768233392308	-71324.5807865411	1721.009387433061	33989.06028858132	6709.5219207813125	4.2763188845099093E-4	4.276318884509911E-4	-71324.5807865411	0.0	-1955.94530033374	
270000	-73306.28998391998	-1966.5263816076995	-71339.76360231228	1699.3277309999066	33215.224787203355	6902.676321955076	4.42300808536414E-4	4.423008085364142E-4	-71339.76360231228	0.0	-1951.4903733839485	
280000	-73305.65531406293	-1973.9684537092928	-71331.68686035363	1680.7839158922243	34286.983178626986	6662.54366449714	4.239435024743532E-4	4.2394350247435295E-4	-71331.68686035363	0.0	-1959.1603041173555	
290000	-73285.40723275465	-1967.795919593733	-71317.61131316092	1754.0344314623972	33325.27351023087	6462.014880119509	4.4264622157015425E-4	4.426462215701541E-4	-71317.61131316092	0.0	-1952.7669573277537	
300000	-73301.07017410269	-1982.026828911112	-71319.04334519157	1803.7229920740838	35765.16065816137	7185.38673659971	4.05167558150707E-4	4.051675581507075E-4	-71319.04334519157	0.0	-1967.231746227431	
310000	-73300.73259316392	-1987.630180529143	-71313.10241263478	1742.9283788500752	36555.94313329275	7407.526070617231	3.9556068554888934E-4	3.9556068554888945E-4	-71313.10241263478	0.0	-1972.8583725592266	
320000	-73311.23011815165	-1979.3158885756338	-71331.91422957602	1788.1969298261401	35543.806145035276	6653.557335399849	4.1037202560225946E-4	4.1037202560225946E-4	-71331.91422957602	0.0	-1964.4929167895048	
330000	-73310.56061045648	-1988.4524552082878	-71322.10815524819	1797.8280791140053	36830.85492758055	7067.603059237287	3.95932325606535E-4	3.959323256065351E-4	-71322.10815524819	0.0	-1973.6084667873342	
340000	-73342.7912423361	-1987.2856222508908	-71355.50562008521	1766.9367083082154	36701.6720544275	7081.771159984333	3.9195811207886217E-4	3.91958112078862E-4	-71355.50562008521	0.0	-1972.6399264870925	
350000	-73292.1820375237	-1980.6861849487725	-71311.49585257492	1838.1578608744126	35653.64554472647	7175.457282909885	4.116690766444007E-4	4.116690766444005E-4	-71311.49585257492	0.0	-1965.6963436057097	
360000	-73293.99258675231	-1979.9842270769961	-71314.00835967531	1735.2385284142924	35681.539390063466	7050.416448020431	4.0524892425945736E-4	4.0524892425945774E-4	-71314.00835967531	0.0	-1965.237813606618	
370000	-73327.87339854772	-2000.6797595980263	-71327.19363894968	1819.9254636402327	39037.445325374545	7793.712479473904	3.7753037241656476E-4	3.7753037241656487E-4	-71327.19363894968	0.0	-1985.6355688563983	
380000	-73338.29222388082	-1996.677438194365	-71341.61478568646	1785.0193625739032	37988.309072464835	9051.54177178571	3.761225277651145E-4	3.7612252776511454E-4	-71341.61478568646	0.0	-1981.92143869955	
390000	-73346.84914451683	-1992.5855419528505	-71354.26360256398	1779.879494052349	37458.674456614885	7201.587756685914	3.948431363702309E-4	3.948431363702313E-4	-71354.26360256398	0.0	-1977.5248274931878	
400000	-73319.86061818471	-1992.855779795446	-71327.00483838927	1800.0728133275525	37592.560760807464	7186.185699162001	3.8606570773593366E-4	3.860657077359338E-4	-71327.00483838927	0.0	-1978.087332684361	
410000	-73329.32559103597	-2000.7942799121195	-71328.53131112385	1807.368937037113	38933.0929067546	8038.606540696034	3.720338117161024E-4	3.7203381171610234E-4	-71328.53131112385	0.0	-1985.9785398326205	
420000	-73342.64717119656	-2002.9653958412543	-71339.6817753553	1837.558172889347	39549.57192390311	7620.840390466602	3.641819653501574E-4	3.64181965350157E-4	-71339.6817753553	0.0	-1988.302731666223	
430000	-73334.86096845733	-1998.3680703939579	-71336.49289806337	1830.297463767995	38901.53625582215	7857.193778002658	3.7529985932374194E-4	3.7529985932374215E-4	-71336.49289806337	0.0	-1983.4550666947437	
440000	-73322.4347061124	-1994.1548679352368	-71328.27983817716	1758.160772913127	37838.98786101353	8085.229275996485	3.846325374299506E-4	3.8463253742995057E-4	-71328.27983817716	0.0	-1979.2327616490747	
450000	-73319.72307710147	-1990.7650733385722	-71328.9580037629	1812.3922917084858	37339.31831511318	6904.457920021865	3.91021148777598E-4	3.9102114877759774E-4	-71328.9580037629	0.0	-1975.9395982318108	
460000	-73312.05065494435	-1994.4671075120505	-71317.5835474323	1904.5012571998466	37914.48451045819	7749.406604996718	3.894748383189697E-4	3.8947483831896953E-4	-71317.5835474323	0.0	-1979.3695331870638	
470000	-73328.96987686929	-1993.9653852458018	-71335.00449162349	1790.6587529308283	37881.11514425897	7155.53680006876	3.808587644102476E-4	3.808587644102473E-4	-71335.00449162349	0.0	-1979.2976688481097	
480000	-73336.70044166443	-1983.268257823918	-71353.43218384052	1800.1566460200172	35980.92281199088	8092.782186185308	4.0697591982164296E-4	4.069759198216429E-4	-71353.43218384052	0.0	-1968.2025462154925	
490000	-73323.53023467219	-1988.9561733765458	-71334.57406129564	1790.1555510305836	36631.52817958598	8416.712540964689	3.987347170478662E-4	3.9873471704786665E-4	-71334.57406129564	0.0	-1973.9075112164812	
500000	-73308.71095155808	-1981.4234047157818	-71327.2875468423	1773.133170352762	35786.815591966115	7480.134925772296	4.1544172709136087E-4	4.154417270913609E-4	-71327.2875468423	0.0	-1966.1994487003217	
510000	-73314.53874308016	-1992.8888797868378	-71321.64986329332	1836.0549064850331	37765.23947191983	7523.093911449996	3.8588931406892255E-4	3.8588931406892266E-4	-71321.64986329332	0.0	-1978.0171319060153	
520000	-73344.30459670415	-1997.272869189092	-71347.03172751506	1784.474029113458	38346.05144045191	8270.920580940108	3.886708160808486E-4	3.8867081608084887E-4	-71347.03172751506	0.0	-1981.9796043638623	
530000	-73330.46663900444	-1990.922098823164	-71339.54454018128	1842.6283247168008	37440.51395555254	7391.5121895012835	3.903505714438855E-4	3.903505714438855E-4	-71339.54454018128	0.0	-1976.016207232791	
540000	-73335.55042395912	-1986.772924767229	-71348.7774991919	1796.7187090517616	36760.51168691426	6972.646146419856	3.979032284137769E-4	3.9790322841377657E-4	-71348.7774991919	0.0	-1971.894424077749	
550000	-73343.59820066443	-1992.9182855846761	-71350.67991507976	1877.1032129998066	37714.30839501429	6970.192192759151	3.881749549572611E-4	3.881749549572609E-4	-71350.67991507976	0.0	-1978.05269722142	
560000	-73328.05961960752	-1994.7105344751828	-71333.34908513234	1877.5729380671173	37990.80064873975	6770.502531951775	3.845425459552131E-4	3.845425459552133E-4	-71333.34908513234	0.0	-1979.9130374573697	
