state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
 0	-72623.4340477122	-2787.1458478480085	-69836.2881998642	1044348.3070914828	2934932.395825738	397209.57195386983	7.0596589602303774E-6	7.059658960230384E-6	-69836.2881998642	0.0	-2766.338296205161	
10000	-72638.27837003874	-2784.0571685581126	-69854.22120148063	1041179.7437841259	2901685.4556660443	377437.2098625119	7.116604388319883E-6	7.116604388319882E-6	-69854.22120148063	0.0	-2763.3604377534307	
20000	-72661.4436550877	-2788.334456345106	-69873.10919874259	1043601.1132039633	2956482.4402397885	395282.0389004776	7.038741018637775E-6	7.038741018637769E-6	-69873.10919874259	0.0	-2767.4466183631794	
30000	-72619.98261899051	-2793.840169923919	-69826.1424490666	1047480.1613427952	2993808.1773468475	448965.6885478569	6.916117948240406E-6	6.9161179482403965E-6	-69826.1424490666	0.0	-2772.944429120138	
40000	-72646.1194449773	-2791.8291368881664	-69854.29030808914	1044584.0954704179	2992174.4383390127	437855.95124846423	6.868791289812998E-6	6.868791289812998E-6	-69854.29030808914	0.0	-2771.114521631509	
50000	-72647.98523321628	-2797.3194487310843	-69850.6657844852	1045279.1798594034	3035193.1782255	417403.4892922312	6.767325117138157E-6	6.767325117138159E-6	-69850.6657844852	0.0	-2776.6797312686067	
60000	-72647.401290471	-2792.790609268329	-69854.61068120267	1047441.845418566	3006572.056042427	404985.89583788224	6.763873820467891E-6	6.763873820467891E-6	-69854.61068120267	0.0	-2772.3806757446096	
70000	-72655.66424571372	-2802.1126035118455	-69853.55164220187	1049389.1283166008	3095349.1105961674	397292.0919518694	6.508709535402732E-6	6.508709535402733E-6	-69853.55164220187	0.0	-2781.944973562983	
80000	-72643.035060105	-2805.320149863864	-69837.71491024113	1051204.5418642398	3128353.9047984495	461850.8458376311	6.377198301642152E-6	6.377198301642146E-6	-69837.71491024113	0.0	-2785.214054043852	
90000	-72648.2870811007	-2801.4906049335286	-69846.79647616718	1045945.9971426389	3081561.296215198	476044.74017311836	6.574471136279964E-6	6.5744711362799705E-6	-69846.79647616718	0.0	-2781.0219687529884	
100000	-72654.04403234307	-2802.1616286287663	-69851.8824037143	1045628.9988651811	3100781.3396762502	408567.34875776846	6.3761133274483654E-6	6.376113327448366E-6	-69851.8824037143	0.0	-2782.3529766749675	
110000	-72655.9099225016	-2802.8004566680142	-69853.10946583358	1048977.2334009465	3098756.930462975	411818.1652512935	6.43572360682102E-6	6.435723606821024E-6	-69853.10946583358	0.0	-2782.807090348232	
120000	-72669.41017495496	-2802.4483925258214	-69866.96178242913	1051371.836602847	3112915.03775461	466461.58128899575	6.551777322376201E-6	6.551777322376202E-6	-69866.96178242913	0.0	-2781.8713926686696	
130000	-72644.19506587688	-2807.204064859917	-69836.99100101696	1048551.0526950426	3115204.5647152252	378154.937901176	6.624702469479488E-6	6.624702469479489E-6	-69836.99100101696	0.0	-2786.5895925030877	
140000	-72648.45544410714	-2797.269799782911	-69851.18564432423	1045490.573291534	3043888.8173421873	414406.29007248254	6.808902826605861E-6	6.808902826605858E-6	-69851.18564432423	0.0	-2776.450252536661	
150000	-72626.1388017484	-2797.099109719224	-69829.03969202917	1045406.7232124042	3039590.3389280117	445975.3120872107	6.700039932566379E-6	6.700039932566376E-6	-69829.03969202917	0.0	-2776.5736644408794	
160000	-72637.24676185979	-2797.1974513510477	-69840.04931050874	1049338.659914113	3041435.8428096087	469879.5963857925	6.688396353469493E-6	6.688396353469492E-6	-69840.04931050874	0.0	-2776.644014594385	
170000	-72645.2799853153	-2804.8936381508624	-69840.38634716443	1047938.2579100062	3125312.1693147304	413336.0488553904	6.343945853762287E-6	6.3439458537622786E-6	-69840.38634716443	0.0	-2785.0239729805303	
180000	-72670.23331832241	-2799.4245541295704	-69870.80876419284	1049325.9975400653	3049829.6583265327	470253.32453564985	6.902799611652371E-6	6.902799611652367E-6	-69870.80876419284	0.0	-2778.14588928126	
190000	-72646.92314521568	-2797.1851630961846	-69849.73798211949	1045289.3849359063	3032861.9387204894	421284.94081756077	6.748623762480793E-6	6.7486237624807925E-6	-69849.73798211949	0.0	-2776.6096839159445	
200000	-72638.80425232904	-2799.0570084443875	-69839.74724388465	1048779.824047646	3067472.1440079883	448735.342915885	6.653750287738402E-6	6.653750287738394E-6	-69839.74724388465	0.0	-2778.488608426292	
210000	-72641.67557521892	-2793.336707365073	-69848.33886785385	1047125.15231152	3011120.0992050325	423865.4071925599	6.826335616444304E-6	6.826335616444296E-6	-69848.33886785385	0.0	-2772.658527413014	
220000	-72648.91711692678	-2796.87485883519	-69852.04225809159	1046038.9800203542	3028762.35030652	400803.83074945724	6.776779989968541E-6	6.776779989968542E-6	-69852.04225809159	0.0	-2776.2888469785607	
230000	-72642.16031259125	-2793.1875517508574	-69848.97276084039	1047213.7196666246	2999507.9748869753	366794.9620027588	6.845276553169183E-6	6.845276553169177E-6	-69848.97276084039	0.0	-2772.673122173451	
240000	-72643.1114691965	-2786.5498005943336	-69856.56166860217	1046696.5396182662	2950537.2722980804	422524.7292726388	7.038697700826231E-6	7.038697700826232E-6	-69856.56166860217	0.0	-2765.636285096064	
250000	-72616.88757581529	-2785.2186896081116	-69831.66888620718	1046395.9187041403	2922622.4604276987	447373.7206557977	7.0533020040701665E-6	7.053302004070164E-6	-69831.66888620718	0.0	-2764.396039497275	
260000	-72619.44298631472	-2787.58287132969	-69831.86011498503	1044157.3594668813	2936845.032366066	450644.88545038283	6.986188404597435E-6	6.98618840459743E-6	-69831.86011498503	0.0	-2766.856929704879	
270000	-72628.96975208954	-2796.621825007911	-69832.34792708163	1042902.9917706324	2995578.420788676	351997.82395838056	6.699599364454536E-6	6.699599364454539E-6	-69832.34792708163	0.0	-2776.621959872983	
280000	-72623.05830755428	-2787.89269264428	-69835.16561491	1042376.273249745	2911875.8687123237	336889.8307468857	7.166774816873438E-6	7.166774816873435E-6	-69835.16561491	0.0	-2767.089239251847	
290000	-72612.32993534907	-2783.72245166237	-69828.6074836867	1043936.0565254315	2907933.639448626	378806.4840656418	7.17471535822867E-6	7.174715358228676E-6	-69828.6074836867	0.0	-2762.8056602011666	
300000	-72629.12793603014	-2786.7556949746995	-69842.37224105545	1040753.9825675437	2915385.59736001	357224.9440711137	7.168630040409806E-6	7.168630040409802E-6	-69842.37224105545	0.0	-2765.8635426210544	
310000	-72615.6296387897	-2793.737635863917	-69821.89200292579	1043088.05323595	2979568.4603349976	445674.232873143	6.984666010217695E-6	6.984666010217693E-6	-69821.89200292579	0.0	-2772.736178035292	
