state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
 0	-6962.017542147443	-2366.544838365013	-4595.47270378243	107919.25403340312	489548.5014144031	47259.6628988764	7.7204945180591E-7	7.720494518059098E-7	-4595.47270378243	0.0	-2368.4188333780694	
10000	-6936.133032134048	-2354.356321724693	-4581.7767104093555	107585.54903267563	461853.7075400459	50076.15193435429	8.504481117747407E-7	8.504481117747409E-7	-4581.7767104093555	0.0	-2356.080126956649	
20000	-6920.464457851701	-2325.7033576264885	-4594.761100225212	109665.26611950785	424718.322365907	49145.333230667755	9.265104946757345E-7	9.265104946757334E-7	-4594.761100225212	0.0	-2327.360460489748	
30000	-6921.143987752645	-2315.525027700046	-4605.6189600525995	107535.37282740697	425372.556054402	46525.018282971214	9.281830511105734E-7	9.281830511105739E-7	-4605.6189600525995	0.0	-2317.2354724540414	
40000	-6944.827505087873	-2342.303180981624	-4602.524324106249	107687.51176371792	457416.04076542764	52225.93932719175	8.421043003880526E-7	8.421043003880526E-7	-4602.524324106249	0.0	-2343.9926447450844	
50000	-6937.247457231719	-2333.725408406255	-4603.522048825464	110264.49017654078	456091.6377248061	47929.67938799232	7.976318387792074E-7	7.976318387792072E-7	-4603.522048825464	0.0	-2335.5477939132797	
60000	-6945.661777278786	-2339.057579016051	-4606.604198262735	109800.26885493452	461533.78306429606	48565.20482138768	8.523031780230098E-7	8.523031780230104E-7	-4606.604198262735	0.0	-2340.8100017915945	
70000	-6918.156584119433	-2324.9366471491535	-4593.219936970279	108567.43917570983	436579.26507311396	41329.72924235155	9.187122698998804E-7	9.187122698998797E-7	-4593.219936970279	0.0	-2326.7773631643613	
80000	-6956.070471070421	-2335.9215860557756	-4620.148885014646	108149.9314937097	454078.8001363572	41682.98820529005	7.686069428065279E-7	7.686069428065277E-7	-4620.148885014646	0.0	-2337.914720704826	
90000	-6966.84436578002	-2359.1024463699982	-4607.741919410022	110570.8562140981	492142.6221947191	50711.985145409206	7.688523681224438E-7	7.688523681224434E-7	-4607.741919410022	0.0	-2360.9102242019535	
100000	-6952.728217182516	-2365.5547982705657	-4587.173418911951	108636.62981572511	502613.31447488756	56250.06436250219	7.167678489033277E-7	7.167678489033273E-7	-4587.173418911951	0.0	-2367.3226589115566	
110000	-6935.948301371214	-2336.5143636199846	-4599.43393775123	108973.32580117237	444842.0068030433	49388.7104187335	8.607750049766178E-7	8.607750049766178E-7	-4599.43393775123	0.0	-2338.237066224499	
120000	-6921.415340232659	-2337.235350945389	-4584.1799892872705	108403.28391626125	439978.26924332604	46142.365713705876	9.437110036707203E-7	9.437110036707202E-7	-4584.1799892872705	0.0	-2338.94225010271	
130000	-6950.11932431367	-2359.732896172567	-4590.386428141103	108689.18518632496	485210.6894698031	54208.56620521426	8.559428466901971E-7	8.559428466901986E-7	-4590.386428141103	0.0	-2361.3763247467514	
140000	-6935.074219191452	-2346.1266682655987	-4588.947550925854	108805.72293381707	456478.1185376415	44030.179616088135	8.668447136534545E-7	8.668447136534548E-7	-4588.947550925854	0.0	-2347.9608281149067	
150000	-6945.129943209489	-2333.769876808071	-4611.360066401418	109370.26372302613	444056.6368363147	46387.85421243295	7.993564021930331E-7	7.993564021930327E-7	-4611.360066401418	0.0	-2335.6193425703	
160000	-6925.039269337848	-2314.979854492054	-4610.059414845794	107472.84600890617	424370.83883943874	42233.83845094489	9.032551817095547E-7	9.032551817095545E-7	-4610.059414845794	0.0	-2316.8110092032866	
170000	-6912.720962422105	-2333.444825063852	-4579.276137358253	106563.12462920112	427694.20538039494	50616.881835544445	9.079759874159322E-7	9.079759874159319E-7	-4579.276137358253	0.0	-2335.0911894447836	
180000	-6910.332737555541	-2315.8149429819086	-4594.517794573632	107251.57856790531	428412.8996959091	44253.61983302944	8.352647846905011E-7	8.352647846905005E-7	-4594.517794573632	0.0	-2317.6687272710387	
190000	-6899.274504535646	-2320.7970638963043	-4578.477440639342	106483.86949830064	408178.67335056124	43907.046913547405	8.972033375823078E-7	8.972033375823071E-7	-4578.477440639342	0.0	-2322.5903713755574	
