state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	clock.rate	meanRate	treeLikelihood	branchRates	coalescent 
 0	-6914.169239065828	-2329.184325240235	-4584.984913825593	106440.63934652235	419149.633055876	46030.72080622382	9.877100835329037E-7	9.877100835329044E-7	-4584.984913825593	0.0	-2330.8478276193646	
10000	-6916.850751228658	-2320.9108541955234	-4595.939897033135	106985.51946140605	417728.56269818987	38435.60379921376	9.710904177380507E-7	9.710904177380498E-7	-4595.939897033135	0.0	-2322.7698142488107	
20000	-6942.735444480886	-2330.5864146954877	-4612.149029785398	107269.88688318265	432088.88098372344	43903.533105517345	9.3094021428468E-7	9.309402142846787E-7	-4612.149029785398	0.0	-2332.353779444272	
30000	-6949.333807579511	-2363.8386994353646	-4585.495108144146	108166.16394821998	477803.3207268968	54406.010320373534	9.020430015890069E-7	9.020430015890069E-7	-4585.495108144146	0.0	-2365.428884494433	
40000	-6946.512431969362	-2349.243904880435	-4597.268527088927	107884.10344710358	471998.6306106624	46954.808904245816	7.918730717441639E-7	7.918730717441635E-7	-4597.268527088927	0.0	-2351.0976340686934	
50000	-6954.73033247376	-2361.892734753332	-4592.837597720429	111370.01045978756	487094.7159946001	50742.694729425755	7.765032139191762E-7	7.76503213919177E-7	-4592.837597720429	0.0	-2363.689955721258	
60000	-6956.455187681497	-2340.9951143541625	-4615.460073327334	109180.84306749432	464505.43578285835	49861.90658812408	8.060184893208694E-7	8.060184893208702E-7	-4615.460073327334	0.0	-2342.7712806937925	
70000	-6965.635106844545	-2373.4013637625967	-4592.233743081948	108194.83356496887	511873.89944458305	54154.00755172863	7.053677462828306E-7	7.053677462828312E-7	-4592.233743081948	0.0	-2375.223542286688	
80000	-6939.522113143312	-2357.121868413695	-4582.400244729617	109680.55609340171	482678.7876174092	48962.06713708304	8.181561043023308E-7	8.181561043023318E-7	-4582.400244729617	0.0	-2358.907455415746	
90000	-6933.777107642391	-2321.9532940169897	-4611.823813625401	105813.08176664913	411007.0844009752	48974.504156794894	1.048522098207564E-6	1.048522098207563E-6	-4611.823813625401	0.0	-2323.498171265775	
100000	-6889.538188277913	-2281.6395688071866	-4607.898619470727	106367.67651249567	369829.34689028154	36054.317282051896	1.038695265235228E-6	1.0386952652352278E-6	-4607.898619470727	0.0	-2283.4894530483407	
110000	-6895.7073036730435	-2308.8604017714447	-4586.846901901599	107085.48352788923	396916.7577166008	41780.982689507575	9.15156965832662E-7	9.151569658326625E-7	-4586.846901901599	0.0	-2310.682425186651	
120000	-6907.870054120598	-2314.741024379137	-4593.129029741462	109155.31000447093	413829.41854685056	38273.706148174046	9.218167407196588E-7	9.21816740719658E-7	-4593.129029741462	0.0	-2316.64973040021	
130000	-6938.773955891281	-2334.984222045351	-4603.78973384593	108752.49602345758	432766.24426477525	43845.94539967239	1.0325460639122706E-6	1.0325460639122706E-6	-4603.78973384593	0.0	-2336.657286446421	
140000	-6902.548627555854	-2311.5956846124714	-4590.952942943383	107660.27855121483	406004.6934761927	40250.50186507628	8.81897624103457E-7	8.818976241034576E-7	-4590.952942943383	0.0	-2313.490042273002	
150000	-6937.182880408705	-2334.025360844063	-4603.157519564642	108309.3557087359	429377.8520248166	44247.697377703545	8.939039151363433E-7	8.939039151363426E-7	-4603.157519564642	0.0	-2335.820494810347	
160000	-6927.862044246653	-2323.0905865730797	-4604.7714576735725	107437.92756726615	425646.1267384419	42985.10282638568	8.988109726810115E-7	8.988109726810111E-7	-4604.7714576735725	0.0	-2324.9088156723205	
170000	-6960.750024105612	-2352.8261982508775	-4607.923825854735	108416.1148506159	481056.3538034231	44228.305852443584	7.991918902149405E-7	7.991918902149417E-7	-4607.923825854735	0.0	-2354.7339589337425	
180000	-6944.848463948552	-2321.3684219051697	-4623.480042043383	106073.3471845271	425996.3990816482	44660.376998688786	9.639077609033818E-7	9.63907760903383E-7	-4623.480042043383	0.0	-2323.0858219616666	
190000	-6944.952890518361	-2335.2357718863805	-4609.71711863198	109088.50799382661	448537.76135540055	44411.61698829706	8.855031654162926E-7	8.855031654162927E-7	-4609.71711863198	0.0	-2337.040397956258	
200000	-6949.53495093872	-2328.3746355164412	-4621.1603154222785	108262.27687628988	446624.3735178723	48929.620641655696	8.638994964712522E-7	8.638994964712513E-7	-4621.1603154222785	0.0	-2330.103935066493	
210000	-6955.245274414427	-2333.8565875677236	-4621.3886868467025	108954.12699532058	432647.4156861959	44135.952305577914	8.950938736348913E-7	8.950938736348917E-7	-4621.3886868467025	0.0	-2335.65394041437	
220000	-6907.92799498873	-2303.7720537502873	-4604.155941238442	105148.54007442396	376290.9564025397	41947.59408137208	9.729056127116577E-7	9.729056127116572E-7	-4604.155941238442	0.0	-2305.529965220317	
230000	-6944.96247642155	-2337.4167458992774	-4607.545730522273	107856.68892008628	448707.16026575153	52068.98174274958	7.837050013134362E-7	7.83705001313436E-7	-4607.545730522273	0.0	-2339.169081675757	
240000	-6931.493250990481	-2329.2145930548545	-4602.278657935626	106774.66038253989	435808.1064574709	43322.79445795253	8.642506357292379E-7	8.642506357292381E-7	-4602.278657935626	0.0	-2331.062326635107	
250000	-6966.007570568065	-2346.7061459479432	-4619.301424620121	107970.91871130839	466645.4964036396	48881.991472044836	7.8824809208543E-7	7.882480920854308E-7	-4619.301424620121	0.0	-2348.5221732972336	
260000	-6936.52870329309	-2352.530393390661	-4583.998309902428	108462.12823441894	465136.8810987467	47134.716904645706	8.978400704831401E-7	8.978400704831401E-7	-4583.998309902428	0.0	-2354.2663252643497	
270000	-6940.0300340762105	-2352.32765654013	-4587.70237753608	108427.64854424467	471945.4154391933	57035.02600979321	7.683552520562E-7	7.683552520561998E-7	-4587.70237753608	0.0	-2354.0130651368822	
280000	-6937.187568590267	-2360.9496537759032	-4576.237914814364	109326.40277951042	466520.21764163155	56734.628056339694	8.636214489569745E-7	8.636214489569739E-7	-4576.237914814364	0.0	-2362.5358459088948	
290000	-6913.19800499367	-2309.3858992161713	-4603.812105777499	106309.62685032541	413770.11972492945	42573.24231068086	9.596745794496948E-7	9.596745794496952E-7	-4603.812105777499	0.0	-2311.1523370984414	
300000	-6989.722269597847	-2391.1589026730185	-4598.563366924828	109680.1168314589	535604.1571705883	61521.49027121382	6.916891715683245E-7	6.916891715683235E-7	-4598.563366924828	0.0	-2392.8765642116564	
310000	-6931.446559278464	-2338.651102380713	-4592.795456897751	107421.1542827702	446981.2998499613	45874.26844662451	8.12552787833682E-7	8.125527878336817E-7	-4592.795456897751	0.0	-2340.4985603945065	
320000	-6980.444607570711	-2390.021454157474	-4590.423153413237	109974.06175205047	525311.2988927889	60943.96808411859	7.621394218535082E-7	7.621394218535083E-7	-4590.423153413237	0.0	-2391.6604599228053	
330000	-6995.441796886656	-2378.9574155393398	-4616.484381347316	110346.02322549345	520492.1549035589	60542.18995588885	8.290277706177304E-7	8.290277706177302E-7	-4616.484381347316	0.0	-2380.5252235290636	
340000	-6975.062705612898	-2368.3894243001178	-4606.67328131278	108077.35938849894	498694.12309350376	58619.130051425534	7.745930867201875E-7	7.745930867201877E-7	-4606.67328131278	0.0	-2370.047296064329	
350000	-6976.018453976383	-2357.1907165693033	-4618.827737407079	109648.16023408681	510526.3281343654	47393.131277535096	7.254274038099037E-7	7.254274038099034E-7	-4618.827737407079	0.0	-2359.1216204110597	
360000	-6999.244716164869	-2381.6501101361396	-4617.594606028729	111936.35855004199	548849.1935009559	58202.53835846111	7.29080863518421E-7	7.290808635184207E-7	-4617.594606028729	0.0	-2383.3794355905493	
370000	-7002.026524290474	-2378.131395105017	-4623.895129185457	110219.41118752785	522461.4906563064	51800.26151520859	7.577140399868447E-7	7.577140399868449E-7	-4623.895129185457	0.0	-2379.937636446714	
380000	-6965.449429042053	-2356.369426827469	-4609.080002214585	108025.93333873205	480645.65999169135	51115.75343694917	8.392673141407742E-7	8.392673141407749E-7	-4609.080002214585	0.0	-2358.0886347647233	
390000	-6972.243941603261	-2357.334183004967	-4614.909758598294	107894.7622420922	483302.9637399738	51128.532930152556	8.440704041574429E-7	8.440704041574421E-7	-4614.909758598294	0.0	-2359.04849279874	
400000	-6929.198038841499	-2318.465906084235	-4610.732132757264	107339.40592108898	421493.7177566815	42072.159958046606	8.455461502579596E-7	8.455461502579599E-7	-4610.732132757264	0.0	-2320.357428852908	
